pin,slack
test_0/uGEN_DDS/U100/UCORD/x[3][16]:Q,
test_0/uGEN_DDS/U100/UCORD/z[9]_1_cry_8:A,
test_0/uGEN_DDS/U100/UCORD/z[9]_1_cry_8:B,
test_0/uGEN_DDS/U100/UCORD/z[9]_1_cry_8:FCI,
test_0/uGEN_DDS/U100/UCORD/z[9]_1_cry_8:FCO,
test_0/uGEN_DDS/U100/UCORD/z[9]_1_cry_8:S,
test_0/uGEN_DDS/U100/UCORD/x[31][36]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[31][36]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[31][36]:D,
test_0/uGEN_DDS/U100/UCORD/x[31][36]:Q,
test_0/uGEN_DDS/U100/UCORD/z[12][13]:ALn,
test_0/uGEN_DDS/U100/UCORD/z[12][13]:CLK,
test_0/uGEN_DDS/U100/UCORD/z[12][13]:D,
test_0/uGEN_DDS/U100/UCORD/z[12][13]:Q,
test_0/uGEN_DDS/U100/UCORD/y[9][32]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[9][32]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[9][32]:D,
test_0/uGEN_DDS/U100/UCORD/y[9][32]:Q,
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_164:IPA,
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_164:IPB,
test_0/uGEN_DDS/U100/UCORD/z[9]_1_cry_4:A,
test_0/uGEN_DDS/U100/UCORD/z[9]_1_cry_4:B,
test_0/uGEN_DDS/U100/UCORD/z[9]_1_cry_4:FCI,
test_0/uGEN_DDS/U100/UCORD/z[9]_1_cry_4:FCO,
test_0/uGEN_DDS/U100/UCORD/z[9]_1_cry_4:S,
test_0/uGEN_DDS/U100/UCORD/_l24.x[25]_4_cry_27:A,
test_0/uGEN_DDS/U100/UCORD/_l24.x[25]_4_cry_27:B,
test_0/uGEN_DDS/U100/UCORD/_l24.x[25]_4_cry_27:C,
test_0/uGEN_DDS/U100/UCORD/_l24.x[25]_4_cry_27:FCI,
test_0/uGEN_DDS/U100/UCORD/_l24.x[25]_4_cry_27:FCO,
test_0/uGEN_DDS/U100/UCORD/_l24.x[25]_4_cry_27:S,
test_0/uGEN_DDS/U100/UCORD/z[29]_1_cry_20:A,
test_0/uGEN_DDS/U100/UCORD/z[29]_1_cry_20:B,
test_0/uGEN_DDS/U100/UCORD/z[29]_1_cry_20:FCI,
test_0/uGEN_DDS/U100/UCORD/z[29]_1_cry_20:FCO,
test_0/uGEN_DDS/U100/UCORD/z[29]_1_cry_20:S,
test_0/uGEN_DDS/U100/UCORD/z[29][21]:ALn,
test_0/uGEN_DDS/U100/UCORD/z[29][21]:CLK,
test_0/uGEN_DDS/U100/UCORD/z[29][21]:D,
test_0/uGEN_DDS/U100/UCORD/z[29][21]:Q,
test_0/uGEN_DDS/U100/UCORD/x[24][31]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[24][31]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[24][31]:D,
test_0/uGEN_DDS/U100/UCORD/x[24][31]:Q,
test_0/UF4/U0/U_IOINFF:A,
test_0/UF4/U0/U_IOINFF:Y,
test_0/uGEN_DDS/U100/UCORD/y[19][24]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[19][24]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[19][24]:D,
test_0/uGEN_DDS/U100/UCORD/y[19][24]:Q,
test_0/uGEN_DDS/U100/UCORD/_l15.x[16]_4_cry_13:A,
test_0/uGEN_DDS/U100/UCORD/_l15.x[16]_4_cry_13:B,
test_0/uGEN_DDS/U100/UCORD/_l15.x[16]_4_cry_13:C,
test_0/uGEN_DDS/U100/UCORD/_l15.x[16]_4_cry_13:FCI,
test_0/uGEN_DDS/U100/UCORD/_l15.x[16]_4_cry_13:FCO,
test_0/uGEN_DDS/U100/UCORD/_l15.x[16]_4_cry_13:S,
test_0/uGEN_DDS/U100/UCORD/_l0.x[1]_4_cry_10:A,
test_0/uGEN_DDS/U100/UCORD/_l0.x[1]_4_cry_10:B,
test_0/uGEN_DDS/U100/UCORD/_l0.x[1]_4_cry_10:FCI,
test_0/uGEN_DDS/U100/UCORD/_l0.x[1]_4_cry_10:FCO,
test_0/uGEN_DDS/U100/UCORD/_l0.x[1]_4_cry_10:S,
test_0/uGEN_DDS/U100/UCORD/x[15][0]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[15][0]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[15][0]:D,
test_0/uGEN_DDS/U100/UCORD/x[15][0]:Q,
test_0/u100/n_buffer_under_run_1_sqmuxa_RNIOS551:A,13673
test_0/u100/n_buffer_under_run_1_sqmuxa_RNIOS551:B,10767
test_0/u100/n_buffer_under_run_1_sqmuxa_RNIOS551:C,9770
test_0/u100/n_buffer_under_run_1_sqmuxa_RNIOS551:D,5826
test_0/u100/n_buffer_under_run_1_sqmuxa_RNIOS551:Y,5826
test_0/uGEN_DDS/U100/UCORD/z[6][15]:ALn,
test_0/uGEN_DDS/U100/UCORD/z[6][15]:CLK,
test_0/uGEN_DDS/U100/UCORD/z[6][15]:D,
test_0/uGEN_DDS/U100/UCORD/z[6][15]:Q,
test_0/u100/UD100/n_AX_1[24]:A,13068
test_0/u100/UD100/n_AX_1[24]:B,13018
test_0/u100/UD100/n_AX_1[24]:C,12622
test_0/u100/UD100/n_AX_1[24]:Y,12622
test_0/u100/UADC/c1[18]:CLK,14867
test_0/u100/UADC/c1[18]:D,14867
test_0/u100/UADC/c1[18]:Q,14867
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_264:IPA,
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_264:IPB,
u8_sb_0/u8_sb_HPMS_0/MSS_ADLIB_INST/IP_INTERFACE_264:IPC,
test_0/uGEN_DDS/U100/UCORD/x[14][8]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[14][8]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[14][8]:D,
test_0/uGEN_DDS/U100/UCORD/x[14][8]:Q,
test_0/uGEN_DDS/U100/UCORD/_l8.y[9]_4_cry_5:A,
test_0/uGEN_DDS/U100/UCORD/_l8.y[9]_4_cry_5:B,
test_0/uGEN_DDS/U100/UCORD/_l8.y[9]_4_cry_5:C,
test_0/uGEN_DDS/U100/UCORD/_l8.y[9]_4_cry_5:FCI,
test_0/uGEN_DDS/U100/UCORD/_l8.y[9]_4_cry_5:FCO,
test_0/uGEN_DDS/U100/UCORD/_l8.y[9]_4_cry_5:S,
test_0/uGEN_DDS/U100/UCORD/z[3]_1_cry_17:A,
test_0/uGEN_DDS/U100/UCORD/z[3]_1_cry_17:B,
test_0/uGEN_DDS/U100/UCORD/z[3]_1_cry_17:FCI,
test_0/uGEN_DDS/U100/UCORD/z[3]_1_cry_17:FCO,
test_0/uGEN_DDS/U100/UCORD/z[3]_1_cry_17:S,
test_0/UG0/U0/U_IOPAD:D,
test_0/UG0/U0/U_IOPAD:E,
test_0/UG0/U0/U_IOPAD:PAD,
test_0/UG0/U0/U_IOPAD:Y,
test_0/uGEN_DDS/U100/WideMult_2_2/U0/CFG_30:C,
test_0/uGEN_DDS/U100/WideMult_2_2/U0/CFG_30:IPB,
test_0/uGEN_DDS/U100/WideMult_2_2/U0/CFG_30:IPC,
test_0/uGEN_DDS/U100/UCORD/x[19][36]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[19][36]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[19][36]:D,
test_0/uGEN_DDS/U100/UCORD/x[19][36]:Q,
led2_obuft/U0/U_IOPAD:D,
led2_obuft/U0/U_IOPAD:E,
led2_obuft/U0/U_IOPAD:PAD,
test_0/uGEN_DDS/U100/UCORD/y[9][35]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[9][35]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[9][35]:D,
test_0/uGEN_DDS/U100/UCORD/y[9][35]:Q,
test_0/u100/n_response_cnst_4_7_0_.n_dspr3_1_sqmuxa_2_RNICRT82:A,11089
test_0/u100/n_response_cnst_4_7_0_.n_dspr3_1_sqmuxa_2_RNICRT82:B,9151
test_0/u100/n_response_cnst_4_7_0_.n_dspr3_1_sqmuxa_2_RNICRT82:C,8835
test_0/u100/n_response_cnst_4_7_0_.n_dspr3_1_sqmuxa_2_RNICRT82:Y,8835
test_0/uGEN_DDS/U100/UCORD/y[2][17]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[2][17]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[2][17]:D,
test_0/uGEN_DDS/U100/UCORD/y[2][17]:Q,
test_0/u100/UD100/adc_data[21]:ALn,
test_0/u100/UD100/adc_data[21]:CLK,13068
test_0/u100/UD100/adc_data[21]:D,14867
test_0/u100/UD100/adc_data[21]:EN,13585
test_0/u100/UD100/adc_data[21]:Q,13068
test_0/uGEN_DDS/U100/UCORD/x[10][33]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[10][33]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[10][33]:D,
test_0/uGEN_DDS/U100/UCORD/x[10][33]:Q,
test_0/uGEN_DDS/U100/WideMult_3_0/U0/CFG_9:IPB,
test_0/uGEN_DDS/U100/WideMult_3_0/U0/CFG_9:IPC,
test_0/uGEN_DDS/U100/WideMult_3_0/U0/CFG_9:IPD,
test_0/uGEN_DDS/U100/UCORD/x[2][39]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[2][39]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[2][39]:D,
test_0/uGEN_DDS/U100/UCORD/x[2][39]:Q,
test_0/uGEN_DDS/U100/UCORD/z[4]_1_cry_1:A,
test_0/uGEN_DDS/U100/UCORD/z[4]_1_cry_1:B,
test_0/uGEN_DDS/U100/UCORD/z[4]_1_cry_1:FCI,
test_0/uGEN_DDS/U100/UCORD/z[4]_1_cry_1:FCO,
test_0/uGEN_DDS/U100/UCORD/z[4]_1_cry_1:S,
test_0/uGEN_DDS/U100/UCORD/_l19.y[20]_4_cry_8:A,
test_0/uGEN_DDS/U100/UCORD/_l19.y[20]_4_cry_8:B,
test_0/uGEN_DDS/U100/UCORD/_l19.y[20]_4_cry_8:C,
test_0/uGEN_DDS/U100/UCORD/_l19.y[20]_4_cry_8:FCI,
test_0/uGEN_DDS/U100/UCORD/_l19.y[20]_4_cry_8:FCO,
test_0/uGEN_DDS/U100/UCORD/_l19.y[20]_4_cry_8:S,
test_0/u100/UD100/AX[29]:ALn,
test_0/u100/UD100/AX[29]:CLK,13068
test_0/u100/UD100/AX[29]:D,11577
test_0/u100/UD100/AX[29]:EN,11333
test_0/u100/UD100/AX[29]:Q,13068
test_0/uGEN_DDS/U100/ystart[6]:ALn,
test_0/uGEN_DDS/U100/ystart[6]:CLK,
test_0/uGEN_DDS/U100/ystart[6]:D,
test_0/uGEN_DDS/U100/ystart[6]:EN,
test_0/uGEN_DDS/U100/ystart[6]:Q,
test_0/uGEN_DDS/U100/UCORD/y[26][22]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[26][22]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[26][22]:D,
test_0/uGEN_DDS/U100/UCORD/y[26][22]:Q,
test_0/uGEN_DDS/U100/UCORD/x[29][12]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[29][12]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[29][12]:D,
test_0/uGEN_DDS/U100/UCORD/x[29][12]:Q,
test_0/uGEN_DDS/U100/WideMult_0_0/U0/FF_17:IPENn,
test_0/uGEN_DDS/U100/WideMult_0/U0/FF_8:IPCLKn,
test_0/uGEN_DDS/U100/WideMult_0/U0/FF_8:IPENn,
test_0/uGEN_DDS/U100/UCORD/z[25][23]:ALn,
test_0/uGEN_DDS/U100/UCORD/z[25][23]:CLK,
test_0/uGEN_DDS/U100/UCORD/z[25][23]:D,
test_0/uGEN_DDS/U100/UCORD/z[25][23]:Q,
test_0/uGEN_DDS/U100/UCORD/x[4][7]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[4][7]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[4][7]:D,
test_0/uGEN_DDS/U100/UCORD/x[4][7]:Q,
test_0/uGEN_DDS/U100/UCORD/z[9]_1_cry_10:A,
test_0/uGEN_DDS/U100/UCORD/z[9]_1_cry_10:B,
test_0/uGEN_DDS/U100/UCORD/z[9]_1_cry_10:FCI,
test_0/uGEN_DDS/U100/UCORD/z[9]_1_cry_10:FCO,
test_0/uGEN_DDS/U100/UCORD/z[9]_1_cry_10:S,
ip_interface_inst:B,
test_0/uGEN_DDS/U100/UCORD/x[31][7]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[31][7]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[31][7]:D,
test_0/uGEN_DDS/U100/UCORD/x[31][7]:Q,
test_0/uGEN_DDS/U100/UCORD/_l29.x[30]_4_cry_11:A,
test_0/uGEN_DDS/U100/UCORD/_l29.x[30]_4_cry_11:B,
test_0/uGEN_DDS/U100/UCORD/_l29.x[30]_4_cry_11:C,
test_0/uGEN_DDS/U100/UCORD/_l29.x[30]_4_cry_11:FCI,
test_0/uGEN_DDS/U100/UCORD/_l29.x[30]_4_cry_11:FCO,
test_0/uGEN_DDS/U100/UCORD/_l29.x[30]_4_cry_11:S,
test_0/uGEN_DDS/U100/UCORD/_l2.x[3]_4_cry_7:A,
test_0/uGEN_DDS/U100/UCORD/_l2.x[3]_4_cry_7:B,
test_0/uGEN_DDS/U100/UCORD/_l2.x[3]_4_cry_7:C,
test_0/uGEN_DDS/U100/UCORD/_l2.x[3]_4_cry_7:FCI,
test_0/uGEN_DDS/U100/UCORD/_l2.x[3]_4_cry_7:FCO,
test_0/uGEN_DDS/U100/UCORD/_l2.x[3]_4_cry_7:S,
test_0/uGEN_DDS/U100/UCORD/z[4][6]:ALn,
test_0/uGEN_DDS/U100/UCORD/z[4][6]:CLK,
test_0/uGEN_DDS/U100/UCORD/z[4][6]:D,
test_0/uGEN_DDS/U100/UCORD/z[4][6]:Q,
test_0/uGEN_DDS/U100/WideMult_0/U0/CFG_31:IPB,
test_0/uGEN_DDS/U100/WideMult_0/U0/CFG_31:IPC,
test_0/uGEN_DDS/U100/WideMult_0/U0/CFG_31:IPD,
test_0/uGEN_DDS/U100/UCORD/_l10.x[11]_4_cry_15:A,
test_0/uGEN_DDS/U100/UCORD/_l10.x[11]_4_cry_15:B,
test_0/uGEN_DDS/U100/UCORD/_l10.x[11]_4_cry_15:C,
test_0/uGEN_DDS/U100/UCORD/_l10.x[11]_4_cry_15:FCI,
test_0/uGEN_DDS/U100/UCORD/_l10.x[11]_4_cry_15:FCO,
test_0/uGEN_DDS/U100/UCORD/_l10.x[11]_4_cry_15:S,
test_0/u100/n_response_1_sqmuxa_7_0_o3:A,10865
test_0/u100/n_response_1_sqmuxa_7_0_o3:B,10798
test_0/u100/n_response_1_sqmuxa_7_0_o3:C,10647
test_0/u100/n_response_1_sqmuxa_7_0_o3:D,10522
test_0/u100/n_response_1_sqmuxa_7_0_o3:Y,10522
test_0/uGEN_DDS/U100/UCORD/x[15][28]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[15][28]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[15][28]:D,
test_0/uGEN_DDS/U100/UCORD/x[15][28]:Q,
test_0/uGEN_DDS/U100/WideMult_2/U0/FF_0:IPCLKn,
test_0/uGEN_DDS/U100/WideMult_2/U0/FF_0:IPENn,
test_0/uGEN_DDS/U100/UCORD/_l17.x[18]_4_cry_38:A,
test_0/uGEN_DDS/U100/UCORD/_l17.x[18]_4_cry_38:B,
test_0/uGEN_DDS/U100/UCORD/_l17.x[18]_4_cry_38:C,
test_0/uGEN_DDS/U100/UCORD/_l17.x[18]_4_cry_38:FCI,
test_0/uGEN_DDS/U100/UCORD/_l17.x[18]_4_cry_38:FCO,
test_0/uGEN_DDS/U100/UCORD/_l17.x[18]_4_cry_38:S,
test_0/uGEN_DDS/U100/UCORD/x[28][24]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[28][24]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[28][24]:D,
test_0/uGEN_DDS/U100/UCORD/x[28][24]:Q,
test_0/uGEN_DDS/U100/UCORD/_l7.y[8]_4_cry_23:A,
test_0/uGEN_DDS/U100/UCORD/_l7.y[8]_4_cry_23:B,
test_0/uGEN_DDS/U100/UCORD/_l7.y[8]_4_cry_23:C,
test_0/uGEN_DDS/U100/UCORD/_l7.y[8]_4_cry_23:FCI,
test_0/uGEN_DDS/U100/UCORD/_l7.y[8]_4_cry_23:FCO,
test_0/uGEN_DDS/U100/UCORD/_l7.y[8]_4_cry_23:S,
test_0/uGEN_DDS/U100/WideMult_3/U0/FF_3:IPCLKn,
test_0/uGEN_DDS/U100/WideMult_3/U0/FF_3:IPENn,
test_0/uGEN_DDS/U100/UCORD/_l16.x[17]_4_cry_1:A,
test_0/uGEN_DDS/U100/UCORD/_l16.x[17]_4_cry_1:B,
test_0/uGEN_DDS/U100/UCORD/_l16.x[17]_4_cry_1:C,
test_0/uGEN_DDS/U100/UCORD/_l16.x[17]_4_cry_1:FCI,
test_0/uGEN_DDS/U100/UCORD/_l16.x[17]_4_cry_1:FCO,
test_0/uGEN_DDS/U100/UCORD/_l16.x[17]_4_cry_1:S,
test_0/uGEN_DDS/U100/UCORD/_l20.x[21]_4_cry_25:A,
test_0/uGEN_DDS/U100/UCORD/_l20.x[21]_4_cry_25:B,
test_0/uGEN_DDS/U100/UCORD/_l20.x[21]_4_cry_25:C,
test_0/uGEN_DDS/U100/UCORD/_l20.x[21]_4_cry_25:FCI,
test_0/uGEN_DDS/U100/UCORD/_l20.x[21]_4_cry_25:FCO,
test_0/uGEN_DDS/U100/UCORD/_l20.x[21]_4_cry_25:S,
test_0/uGEN_DDS/U100/UCORD/x[10][1]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[10][1]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[10][1]:D,
test_0/uGEN_DDS/U100/UCORD/x[10][1]:Q,
test_0/uGEN_DDS/U100/ystart[9]:ALn,
test_0/uGEN_DDS/U100/ystart[9]:CLK,
test_0/uGEN_DDS/U100/ystart[9]:D,
test_0/uGEN_DDS/U100/ystart[9]:EN,
test_0/uGEN_DDS/U100/ystart[9]:Q,
test_0/uGEN_DDS/U100/UCORD/x[18][29]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[18][29]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[18][29]:D,
test_0/uGEN_DDS/U100/UCORD/x[18][29]:Q,
test_0/uGEN_DDS/U100/UCORD/_l27.y[28]_4_cry_26:A,
test_0/uGEN_DDS/U100/UCORD/_l27.y[28]_4_cry_26:B,
test_0/uGEN_DDS/U100/UCORD/_l27.y[28]_4_cry_26:C,
test_0/uGEN_DDS/U100/UCORD/_l27.y[28]_4_cry_26:FCI,
test_0/uGEN_DDS/U100/UCORD/_l27.y[28]_4_cry_26:FCO,
test_0/uGEN_DDS/U100/UCORD/_l27.y[28]_4_cry_26:S,
test_0/uGEN_DDS/U100/UCORD/z[17][26]:ALn,
test_0/uGEN_DDS/U100/UCORD/z[17][26]:CLK,
test_0/uGEN_DDS/U100/UCORD/z[17][26]:D,
test_0/uGEN_DDS/U100/UCORD/z[17][26]:Q,
test_0/u100/UD100/bits_RNO[1]:A,9879
test_0/u100/UD100/bits_RNO[1]:B,10612
test_0/u100/UD100/bits_RNO[1]:C,10104
test_0/u100/UD100/bits_RNO[1]:D,9886
test_0/u100/UD100/bits_RNO[1]:Y,9879
test_0/uGEN_DDS/U100/UCORD/z[12][29]:ALn,
test_0/uGEN_DDS/U100/UCORD/z[12][29]:CLK,
test_0/uGEN_DDS/U100/UCORD/z[12][29]:D,
test_0/uGEN_DDS/U100/UCORD/z[12][29]:Q,
test_0/uGEN_DDS/U100/UCORD/y[15][39]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[15][39]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[15][39]:D,
test_0/uGEN_DDS/U100/UCORD/y[15][39]:Q,
test_0/uGEN_DDS/U100/UCORD/z[29]_1_cry_21:A,
test_0/uGEN_DDS/U100/UCORD/z[29]_1_cry_21:B,
test_0/uGEN_DDS/U100/UCORD/z[29]_1_cry_21:FCI,
test_0/uGEN_DDS/U100/UCORD/z[29]_1_cry_21:FCO,
test_0/uGEN_DDS/U100/UCORD/z[29]_1_cry_21:S,
test_0/uGEN_DDS/U100/UCORD/y[23][10]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[23][10]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[23][10]:D,
test_0/uGEN_DDS/U100/UCORD/y[23][10]:Q,
test_0/uGEN_DDS/U100/UCORD/x[31][28]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[31][28]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[31][28]:D,
test_0/uGEN_DDS/U100/UCORD/x[31][28]:Q,
test_0/uGEN_DDS/U100/UCORD/_l12.y[13]_4_cry_21:A,
test_0/uGEN_DDS/U100/UCORD/_l12.y[13]_4_cry_21:B,
test_0/uGEN_DDS/U100/UCORD/_l12.y[13]_4_cry_21:C,
test_0/uGEN_DDS/U100/UCORD/_l12.y[13]_4_cry_21:FCI,
test_0/uGEN_DDS/U100/UCORD/_l12.y[13]_4_cry_21:FCO,
test_0/uGEN_DDS/U100/UCORD/_l12.y[13]_4_cry_21:S,
test_0/uGEN_DDS/U100/UCORD/_l21.y[22]_4_cry_12:A,
test_0/uGEN_DDS/U100/UCORD/_l21.y[22]_4_cry_12:B,
test_0/uGEN_DDS/U100/UCORD/_l21.y[22]_4_cry_12:C,
test_0/uGEN_DDS/U100/UCORD/_l21.y[22]_4_cry_12:FCI,
test_0/uGEN_DDS/U100/UCORD/_l21.y[22]_4_cry_12:FCO,
test_0/uGEN_DDS/U100/UCORD/_l21.y[22]_4_cry_12:S,
test_0/uGEN_DDS/U100/UCORD/y[11][6]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[11][6]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[11][6]:D,
test_0/uGEN_DDS/U100/UCORD/y[11][6]:Q,
test_0/uGEN_DDS/U100/UCORD/x[26][29]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[26][29]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[26][29]:D,
test_0/uGEN_DDS/U100/UCORD/x[26][29]:Q,
test_0/uGEN_DDS/U100/UCORD/z[13][24]:ALn,
test_0/uGEN_DDS/U100/UCORD/z[13][24]:CLK,
test_0/uGEN_DDS/U100/UCORD/z[13][24]:D,
test_0/uGEN_DDS/U100/UCORD/z[13][24]:Q,
test_0/u100/UADC/state_ns_a2[4]:A,9923
test_0/u100/UADC/state_ns_a2[4]:B,9838
test_0/u100/UADC/state_ns_a2[4]:C,8895
test_0/u100/UADC/state_ns_a2[4]:D,8641
test_0/u100/UADC/state_ns_a2[4]:Y,8641
test_0/uGEN_DDS/U100/UCORD/_l26.y[27]_4_cry_31:A,
test_0/uGEN_DDS/U100/UCORD/_l26.y[27]_4_cry_31:B,
test_0/uGEN_DDS/U100/UCORD/_l26.y[27]_4_cry_31:C,
test_0/uGEN_DDS/U100/UCORD/_l26.y[27]_4_cry_31:FCI,
test_0/uGEN_DDS/U100/UCORD/_l26.y[27]_4_cry_31:FCO,
test_0/uGEN_DDS/U100/UCORD/_l26.y[27]_4_cry_31:S,
test_0/uGEN_DDS/U100/UCORD/x[29][14]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[29][14]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[29][14]:D,
test_0/uGEN_DDS/U100/UCORD/x[29][14]:Q,
test_0/uGEN_DDS/U100/WideMult_1_2/U0/FF_0:IPCLKn,
test_0/uGEN_DDS/U100/WideMult_1_2/U0/FF_0:IPENn,
test_0/uGEN_DDS/U100/UCORD/_l7.y[8]_4_cry_26:A,
test_0/uGEN_DDS/U100/UCORD/_l7.y[8]_4_cry_26:B,
test_0/uGEN_DDS/U100/UCORD/_l7.y[8]_4_cry_26:C,
test_0/uGEN_DDS/U100/UCORD/_l7.y[8]_4_cry_26:FCI,
test_0/uGEN_DDS/U100/UCORD/_l7.y[8]_4_cry_26:FCO,
test_0/uGEN_DDS/U100/UCORD/_l7.y[8]_4_cry_26:S,
test_0/u100/cmd_q:ALn,
test_0/u100/cmd_q:CLK,11249
test_0/u100/cmd_q:D,11092
test_0/u100/cmd_q:EN,10719
test_0/u100/cmd_q:Q,11249
test_0/uGEN_DDS/U100/UCORD/y[14][7]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[14][7]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[14][7]:D,
test_0/uGEN_DDS/U100/UCORD/y[14][7]:Q,
test_0/u100/UD100/state_ns_0_0_0_o2_0_2[6]:A,5535
test_0/u100/UD100/state_ns_0_0_0_o2_0_2[6]:B,5458
test_0/u100/UD100/state_ns_0_0_0_o2_0_2[6]:C,5413
test_0/u100/UD100/state_ns_0_0_0_o2_0_2[6]:D,5335
test_0/u100/UD100/state_ns_0_0_0_o2_0_2[6]:Y,5335
test_0/uGEN_DDS/U100/WideMult_2_0/U0/FF_14:IPENn,
test_0/uGEN_DDS/U100/UCORD/_l10.y[11]_4_cry_35:A,
test_0/uGEN_DDS/U100/UCORD/_l10.y[11]_4_cry_35:B,
test_0/uGEN_DDS/U100/UCORD/_l10.y[11]_4_cry_35:C,
test_0/uGEN_DDS/U100/UCORD/_l10.y[11]_4_cry_35:FCI,
test_0/uGEN_DDS/U100/UCORD/_l10.y[11]_4_cry_35:FCO,
test_0/uGEN_DDS/U100/UCORD/_l10.y[11]_4_cry_35:S,
test_0/uGEN_DDS/U100/UCORD/y[6][2]:ALn,
test_0/uGEN_DDS/U100/UCORD/y[6][2]:CLK,
test_0/uGEN_DDS/U100/UCORD/y[6][2]:D,
test_0/uGEN_DDS/U100/UCORD/y[6][2]:Q,
test_0/uGEN_DDS/U100/UCORD/x[17][16]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[17][16]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[17][16]:D,
test_0/uGEN_DDS/U100/UCORD/x[17][16]:Q,
test_0/uGEN_DDS/U100/UCORD/_l17.y[18]_4_cry_5:A,
test_0/uGEN_DDS/U100/UCORD/_l17.y[18]_4_cry_5:B,
test_0/uGEN_DDS/U100/UCORD/_l17.y[18]_4_cry_5:C,
test_0/uGEN_DDS/U100/UCORD/_l17.y[18]_4_cry_5:FCI,
test_0/uGEN_DDS/U100/UCORD/_l17.y[18]_4_cry_5:FCO,
test_0/uGEN_DDS/U100/UCORD/_l17.y[18]_4_cry_5:S,
test_0/uGEN_DDS/U100/UCORD/x[12][19]:ALn,
test_0/uGEN_DDS/U100/UCORD/x[12][19]:CLK,
test_0/uGEN_DDS/U100/UCORD/x[12][19]:D,
test_0/uGEN_DDS/U100/UCORD/x[12][19]:Q,
test_0/uGEN_DDS/U100/UCORD/_l13.y[14]_4_cry_13:A,
test_0/uGEN_DDS/U100/UCORD/_l13.y[14]_4_cry_13:B,
test_0/uGEN_DDS/U100/UCORD/_l13.y[14]_4_cry_13:C,
test_0/uGEN_DDS/U100/UCORD/_l13.y[14]_4_cry_13:FCI,
test_0/uGEN_DDS/U100/UCORD/_l13.y[14]_4_cry_13:FCO,
test_0/uGEN_DDS/U100/UCORD/_l13.y[14]_4_cry_13:S,
test_0/uGEN_DDS/U100/UCORD/_l10.x[11]_4_cry_18:A,
